Round,Description,Total,Success,Error,Avg(ms),Max(ms),Min(ms),TotalTime(s),Throughput(tps),SuccessRate,ErrorRate
1,322,15,13,2,5,10,2,0.081,0.499997,0.866667,0.133333
1,323,10,9,1,5,10,2,0.058,0.333331,0.9,0.1
1,324,7,7,0,4,9,1,0.032,0.233332,1,0
1,325,6,4,2,4,10,1,0.029,0.199999,0.666667,0.333333
1,326,30,26,4,5,10,1,0.165,0.999994,0.866667,0.133333
1,327,15,13,2,4,10,1,0.065,0.499997,0.866667,0.133333
1,328,10,10,0,5,10,1,0.052,0.333331,1,0
1,329,7,6,1,5,10,1,0.039,0.233332,0.857143,0.142857
1,330,6,6,0,3,8,1,0.02,0.199999,1,0
1,331,30,26,4,5,10,1,0.152,0.999994,0.866667,0.133333
1,332,15,12,3,5,10,1,0.083,0.499997,0.8,0.2
1,333,10,9,1,4,10,1,0.048,0.333331,0.9,0.1
1,334,7,7,0,8,10,5,0.056,0.233332,1,0
1,335,6,6,0,3,8,1,0.023,0.199999,1,0
1,336,30,24,6,6,10,2,0.207,0.999994,0.8,0.2
1,337,15,14,1,7,10,2,0.105,0.499997,0.933333,0.0666667
1,338,10,7,3,6,9,2,0.061,0.333331,0.7,0.3
1,339,7,7,0,5,10,1,0.039,0.233332,1,0
1,340,6,6,0,3,6,1,0.019,0.199999,1,0
1,341,30,26,4,5,10,1,0.158,0.999994,0.866667,0.133333
1,342,15,13,2,6,10,1,0.092,0.499997,0.866667,0.133333
1,343,10,9,1,6,10,1,0.06,0.333331,0.9,0.1
1,344,7,6,1,4,8,1,0.033,0.233332,0.857143,0.142857
1,345,6,5,1,5,9,1,0.03,0.199999,0.833333,0.166667
1,346,30,28,2,5,10,1,0.165,0.999994,0.933333,0.0666667
1,347,15,14,1,4,9,1,0.069,0.499997,0.933333,0.0666667
1,348,10,10,0,5,10,2,0.057,0.333331,1,0
1,349,7,5,2,3,7,1,0.026,0.233332,0.714286,0.285714
1,350,6,5,1,5,10,2,0.035,0.199999,0.833333,0.166667
1,351,30,25,5,5,10,1,0.175,0.999994,0.833333,0.166667
