轮次编号,任务描述,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,54,8,7,1,3,6,1,0.029,0.266663,0.875,0.125
1,55,6,6,0,6,10,2,0.041,0.199997,1,0
1,56,26,25,1,5,11,1,0.153,0.866654,0.961538,0.0384615
1,57,16,14,2,6,10,3,0.099,0.533325,0.875,0.125
1,58,10,9,1,6,10,2,0.068,0.333328,0.9,0.1
1,59,8,8,0,6,11,1,0.048,0.266663,1,0
1,60,6,4,2,4,10,2,0.029,0.199997,0.666667,0.333333
1,61,26,24,2,6,11,1,0.161,0.866654,0.923077,0.0769231
1,62,16,15,1,6,11,1,0.104,0.533325,0.9375,0.0625
1,63,10,9,1,4,9,1,0.044,0.333328,0.9,0.1
1,64,8,8,0,4,10,1,0.038,0.266663,1,0
1,65,6,5,1,6,11,1,0.038,0.199997,0.833333,0.166667
1,66,26,22,4,5,11,1,0.155,0.866654,0.846154,0.153846
1,67,13,10,3,5,10,2,0.074,0.433327,0.769231,0.230769
1,68,10,10,0,5,10,1,0.057,0.333328,1,0
1,69,8,7,1,5,10,3,0.042,0.266663,0.875,0.125
1,70,6,5,1,7,10,2,0.042,0.199997,0.833333,0.166667
1,71,17,17,0,6,12,1,0.106,0.566658,1,0
1,72,15,12,3,5,12,1,0.086,0.499992,0.8,0.2
1,73,10,10,0,5,10,1,0.052,0.333328,1,0
1,74,8,7,1,6,10,1,0.052,0.266663,0.875,0.125
1,75,6,6,0,6,11,2,0.041,0.199997,1,0
1,76,18,17,1,5,10,1,0.099,0.599991,0.944444,0.0555556
1,77,16,15,1,5,11,1,0.09,0.533325,0.9375,0.0625
1,78,10,10,0,4,9,1,0.047,0.333328,1,0
1,79,8,8,0,6,10,1,0.048,0.266663,1,0
1,80,6,6,0,6,9,2,0.038,0.199997,1,0
1,81,19,19,0,5,11,1,0.107,0.633324,1,0
1,82,16,13,3,7,11,1,0.12,0.533325,0.8125,0.1875
